,Tag_Used,Year,Month,Tag_Count
1040,.net,2009,8,14874
1041,.net,2009,9,16860
1042,.net,2009,10,19003
1043,.net,2009,11,21039
1044,.net,2009,12,23039
1045,.net,2010,1,25377
1046,.net,2010,2,27757
1047,.net,2010,3,30564
1048,.net,2010,4,33072
1049,.net,2010,5,35549
1050,.net,2010,6,38036
1051,.net,2010,7,40643
1052,.net,2010,8,43382
1053,.net,2010,9,46070
1054,.net,2010,10,48603
1055,.net,2010,11,51329
1056,.net,2010,12,53920
1057,.net,2011,1,57001
1058,.net,2011,2,60219
1059,.net,2011,3,63916
1060,.net,2011,4,67321
1061,.net,2011,5,70855
1062,.net,2011,6,74295
1063,.net,2011,7,77717
1064,.net,2011,8,81050
1065,.net,2011,9,84155
1066,.net,2011,10,87064
1067,.net,2011,11,90022
1068,.net,2011,12,92805
1069,.net,2012,1,95923
1070,.net,2012,2,99024
1071,.net,2012,3,102265
1072,.net,2012,4,105125
1073,.net,2012,5,108297
1074,.net,2012,6,111353
1075,.net,2012,7,114534
1076,.net,2012,8,117551
1077,.net,2012,9,120471
1078,.net,2012,10,123588
1079,.net,2012,11,126679
1080,.net,2012,12,129156
1081,.net,2013,1,132216
1082,.net,2013,2,135009
1083,.net,2013,3,137998
1084,.net,2013,4,140930
1085,.net,2013,5,143655
1086,.net,2013,6,146473
1087,.net,2013,7,149477
1088,.net,2013,8,152299
1089,.net,2013,9,154790
1090,.net,2013,10,157652
1091,.net,2013,11,160218
1092,.net,2013,12,162529
1093,.net,2014,1,165234
1094,.net,2014,2,167741
1095,.net,2014,3,170420
1096,.net,2014,4,172908
1097,.net,2014,5,175085
1098,.net,2014,6,177239
1099,.net,2014,7,179468
1100,.net,2014,8,181472
1101,.net,2014,9,183473
1102,.net,2014,10,185676
1103,.net,2014,11,187612
1104,.net,2014,12,189423
1105,.net,2015,1,191272
1106,.net,2015,2,193107
1107,.net,2015,3,195050
1108,.net,2015,4,196957
1109,.net,2015,5,198878
1110,.net,2015,6,201007
1111,.net,2015,7,203027
1112,.net,2015,8,204942
1113,.net,2015,9,207053
1114,.net,2015,10,209081
1115,.net,2015,11,210903
1116,.net,2015,12,212633
1117,.net,2016,1,214377
1118,.net,2016,2,216257
1119,.net,2016,3,218173
1120,.net,2016,4,220105
1121,.net,2016,5,221994
1122,.net,2016,6,223877
1123,.net,2016,7,225608
1124,.net,2016,8,227472
1125,.net,2016,9,229037
1126,.net,2016,10,230631
1127,.net,2016,11,232258
1128,.net,2016,12,233744
1129,.net,2017,1,235356
1130,.net,2017,2,236945
1131,.net,2017,3,238792
1132,.net,2017,4,240264
1133,.net,2017,5,241890
1134,.net,2017,6,243526
1135,.net,2017,7,245114
1136,.net,2017,8,246639
1137,.net,2017,9,248003
1138,.net,2017,10,249487
1139,.net,2017,11,250866
1140,.net,2017,12,252056
1141,.net,2018,1,253389
1142,.net,2018,2,254761
1143,.net,2018,3,256170
1144,.net,2018,4,257535
1145,.net,2018,5,259031
1146,.net,2018,6,260375
1147,.net,2018,7,261790
1148,.net,2018,8,263183
1149,.net,2018,9,264421
1150,.net,2018,10,265840
1151,.net,2018,11,267124
1152,.net,2018,12,268207
1153,.net,2019,1,269446
1154,.net,2019,2,270731
1155,.net,2019,3,271951
1156,.net,2019,4,273093
1157,.net,2019,5,274202
1158,.net,2019,6,275226
1159,.net,2019,7,276387
1160,.net,2019,8,277372
1161,.net,2019,9,278488
1162,.net,2019,10,279616
1163,.net,2019,11,280760
1164,.net,2019,12,281961
1165,.net,2020,1,283190
1166,.net,2020,2,284403
1167,.net,2020,3,285751
1168,.net,2020,4,287272
1169,.net,2020,5,288784
1170,.net,2020,6,290238
1171,.net,2020,7,291685
1172,.net,2020,8,292925
1173,.net,2020,9,294096
1174,.net,2020,10,295234
1175,.net,2020,11,296286
1176,.net,2020,12,297311
1177,.net,2021,1,298491
1178,.net,2021,2,299886
1489,.net-3.5,2009,1,77
1490,.net-3.5,2009,2,165
1491,.net-3.5,2009,3,274
1492,.net-3.5,2009,4,367
1493,.net-3.5,2009,5,468
1494,.net-3.5,2009,6,561
1495,.net-3.5,2009,7,662
1496,.net-3.5,2009,8,742
1497,.net-3.5,2009,9,823
1498,.net-3.5,2009,10,919
1499,.net-3.5,2009,11,1003
1500,.net-3.5,2009,12,1088
1501,.net-3.5,2010,1,1193
1502,.net-3.5,2010,2,1300
1503,.net-3.5,2010,3,1402
1504,.net-3.5,2010,4,1539
1505,.net-3.5,2010,5,1670
1506,.net-3.5,2010,6,1817
1507,.net-3.5,2010,7,1965
1508,.net-3.5,2010,8,2106
1509,.net-3.5,2010,9,2212
1510,.net-3.5,2010,10,2336
1511,.net-3.5,2010,11,2496
1512,.net-3.5,2010,12,2595
1513,.net-3.5,2011,1,2695
1514,.net-3.5,2011,2,2827
1515,.net-3.5,2011,3,2936
1516,.net-3.5,2011,4,3041
1517,.net-3.5,2011,5,3138
1518,.net-3.5,2011,6,3225
1519,.net-3.5,2011,7,3296
1520,.net-3.5,2011,8,3377
1521,.net-3.5,2011,9,3440
1522,.net-3.5,2011,10,3498
1523,.net-3.5,2011,11,3552
1524,.net-3.5,2011,12,3594
1525,.net-3.5,2012,1,3653
1526,.net-3.5,2012,2,3712
1527,.net-3.5,2012,3,3758
1528,.net-3.5,2012,4,3811
1529,.net-3.5,2012,5,3880
1530,.net-3.5,2012,6,3935
1531,.net-3.5,2012,7,3991
1532,.net-3.5,2012,8,4044
1533,.net-3.5,2012,9,4096
1534,.net-3.5,2012,10,4155
1535,.net-3.5,2012,11,4209
1536,.net-3.5,2012,12,4256
1537,.net-3.5,2013,1,4294
1538,.net-3.5,2013,2,4323
1539,.net-3.5,2013,3,4369
1540,.net-3.5,2013,4,4411
1541,.net-3.5,2013,5,4463
1542,.net-3.5,2013,6,4498
1543,.net-3.5,2013,7,4538
1544,.net-3.5,2013,8,4570
1545,.net-3.5,2013,9,4603
1546,.net-3.5,2013,10,4647
1547,.net-3.5,2013,11,4694
1548,.net-3.5,2013,12,4729
1549,.net-3.5,2014,1,4757
1550,.net-3.5,2014,2,4786
1551,.net-3.5,2014,3,4829
1552,.net-3.5,2014,4,4862
1553,.net-3.5,2014,5,4888
1554,.net-3.5,2014,6,4915
1555,.net-3.5,2014,7,4935
1556,.net-3.5,2014,8,4959
1557,.net-3.5,2014,9,4983
1558,.net-3.5,2014,10,5000
1559,.net-3.5,2014,11,5024
1560,.net-3.5,2014,12,5036
1561,.net-3.5,2015,1,5056
1562,.net-3.5,2015,2,5069
1563,.net-3.5,2015,3,5091
1564,.net-3.5,2015,4,5102
1565,.net-3.5,2015,5,5118
1566,.net-3.5,2015,6,5141
1567,.net-3.5,2015,7,5153
1568,.net-3.5,2015,8,5167
1569,.net-3.5,2015,9,5183
1570,.net-3.5,2015,10,5194
1571,.net-3.5,2015,11,5206
1572,.net-3.5,2015,12,5215
1573,.net-3.5,2016,1,5225
1574,.net-3.5,2016,2,5235
1575,.net-3.5,2016,3,5242
1576,.net-3.5,2016,4,5248
1577,.net-3.5,2016,5,5256
1578,.net-3.5,2016,6,5264
1579,.net-3.5,2016,7,5271
1580,.net-3.5,2016,8,5281
1581,.net-3.5,2016,9,5293
1582,.net-3.5,2016,10,5299
1583,.net-3.5,2016,11,5304
1584,.net-3.5,2016,12,5308
1585,.net-3.5,2017,1,5314
1586,.net-3.5,2017,2,5327
1587,.net-3.5,2017,3,5336
1588,.net-3.5,2017,4,5352
1589,.net-3.5,2017,5,5360
1590,.net-3.5,2017,6,5369
1591,.net-3.5,2017,7,5383
1592,.net-3.5,2017,8,5392
1593,.net-3.5,2017,9,5396
1594,.net-3.5,2017,10,5403
1595,.net-3.5,2017,11,5410
1596,.net-3.5,2017,12,5415
1597,.net-3.5,2018,1,5420
1598,.net-3.5,2018,2,5433
1599,.net-3.5,2018,3,5445
1600,.net-3.5,2018,4,5451
1601,.net-3.5,2018,5,5456
1602,.net-3.5,2018,6,5465
1603,.net-3.5,2018,7,5478
1604,.net-3.5,2018,8,5482
1605,.net-3.5,2018,9,5490
1606,.net-3.5,2018,10,5496
1607,.net-3.5,2018,11,5504
1608,.net-3.5,2018,12,5513
1609,.net-3.5,2019,1,5527
1610,.net-3.5,2019,2,5535
1611,.net-3.5,2019,3,5539
1612,.net-3.5,2019,4,5542
1613,.net-3.5,2019,5,5545
1614,.net-3.5,2019,6,5548
1615,.net-3.5,2019,7,5551
1616,.net-3.5,2019,8,5557
1617,.net-3.5,2019,9,5559
1618,.net-3.5,2019,10,5562
1619,.net-3.5,2019,11,5563
1620,.net-3.5,2019,12,5566
1621,.net-3.5,2020,1,5570
1622,.net-3.5,2020,2,5574
1623,.net-3.5,2020,3,5578
1624,.net-3.5,2020,4,5580
1625,.net-3.5,2020,6,5586
1626,.net-3.5,2020,7,5589
1627,.net-3.5,2020,8,5591
1628,.net-3.5,2020,9,5592
1629,.net-3.5,2020,11,5593
1630,.net-3.5,2020,12,5596
1631,.net-3.5,2021,2,5601
1632,.net-4.0,2009,1,1
1633,.net-4.0,2009,2,3
1634,.net-4.0,2009,3,5
1635,.net-4.0,2009,4,6
1636,.net-4.0,2009,5,14
1637,.net-4.0,2009,6,25
1638,.net-4.0,2009,7,37
1639,.net-4.0,2009,8,40
1640,.net-4.0,2009,9,51
1641,.net-4.0,2009,10,73
1642,.net-4.0,2009,11,96
1643,.net-4.0,2009,12,130
1644,.net-4.0,2010,1,155
1645,.net-4.0,2010,2,193
1646,.net-4.0,2010,3,255
1647,.net-4.0,2010,4,409
1648,.net-4.0,2010,5,564
1649,.net-4.0,2010,6,720
1650,.net-4.0,2010,7,839
1651,.net-4.0,2010,8,978
1652,.net-4.0,2010,9,1101
1653,.net-4.0,2010,10,1281
1654,.net-4.0,2010,11,1466
1655,.net-4.0,2010,12,1623
1656,.net-4.0,2011,1,1803
1657,.net-4.0,2011,2,1991
1658,.net-4.0,2011,3,2186
1659,.net-4.0,2011,4,2376
1660,.net-4.0,2011,5,2565
1661,.net-4.0,2011,6,2779
1662,.net-4.0,2011,7,2944
1663,.net-4.0,2011,8,3129
1664,.net-4.0,2011,9,3314
1665,.net-4.0,2011,10,3482
1666,.net-4.0,2011,11,3674
1667,.net-4.0,2011,12,3825
1668,.net-4.0,2012,1,4011
1669,.net-4.0,2012,2,4188
1670,.net-4.0,2012,3,4369
1671,.net-4.0,2012,4,4525
1672,.net-4.0,2012,5,4709
1673,.net-4.0,2012,6,4893
1674,.net-4.0,2012,7,5064
1675,.net-4.0,2012,8,5224
1676,.net-4.0,2012,9,5361
1677,.net-4.0,2012,10,5545
1678,.net-4.0,2012,11,5704
1679,.net-4.0,2012,12,5844
1680,.net-4.0,2013,1,5984
1681,.net-4.0,2013,2,6104
1682,.net-4.0,2013,3,6230
1683,.net-4.0,2013,4,6353
1684,.net-4.0,2013,5,6460
1685,.net-4.0,2013,6,6575
1686,.net-4.0,2013,7,6690
1687,.net-4.0,2013,8,6802
1688,.net-4.0,2013,9,6871
1689,.net-4.0,2013,10,6956
1690,.net-4.0,2013,11,7034
1691,.net-4.0,2013,12,7094
1692,.net-4.0,2014,1,7176
1693,.net-4.0,2014,2,7249
1694,.net-4.0,2014,3,7319
1695,.net-4.0,2014,4,7378
1696,.net-4.0,2014,5,7439
1697,.net-4.0,2014,6,7491
1698,.net-4.0,2014,7,7540
1699,.net-4.0,2014,8,7586
1700,.net-4.0,2014,9,7621
1701,.net-4.0,2014,10,7665
1702,.net-4.0,2014,11,7689
1703,.net-4.0,2014,12,7726
1704,.net-4.0,2015,1,7765
1705,.net-4.0,2015,2,7802
1706,.net-4.0,2015,3,7836
1707,.net-4.0,2015,4,7855
1708,.net-4.0,2015,5,7898
1709,.net-4.0,2015,6,7923
1710,.net-4.0,2015,7,7955
1711,.net-4.0,2015,8,7985
1712,.net-4.0,2015,9,8018
1713,.net-4.0,2015,10,8049
1714,.net-4.0,2015,11,8085
1715,.net-4.0,2015,12,8106
1716,.net-4.0,2016,1,8114
1717,.net-4.0,2016,2,8142
1718,.net-4.0,2016,3,8163
1719,.net-4.0,2016,4,8192
1720,.net-4.0,2016,5,8206
1721,.net-4.0,2016,6,8230
1722,.net-4.0,2016,7,8245
1723,.net-4.0,2016,8,8263
1724,.net-4.0,2016,9,8274
1725,.net-4.0,2016,10,8289
1726,.net-4.0,2016,11,8302
1727,.net-4.0,2016,12,8318
1728,.net-4.0,2017,1,8341
1729,.net-4.0,2017,2,8364
1730,.net-4.0,2017,3,8378
1731,.net-4.0,2017,4,8394
1732,.net-4.0,2017,5,8412
1733,.net-4.0,2017,6,8426
1734,.net-4.0,2017,7,8429
1735,.net-4.0,2017,8,8440
1736,.net-4.0,2017,9,8453
1737,.net-4.0,2017,10,8461
1738,.net-4.0,2017,11,8472
1739,.net-4.0,2017,12,8478
1740,.net-4.0,2018,1,8482
1741,.net-4.0,2018,2,8492
1742,.net-4.0,2018,3,8500
1743,.net-4.0,2018,4,8507
1744,.net-4.0,2018,5,8513
1745,.net-4.0,2018,6,8521
1746,.net-4.0,2018,7,8531
1747,.net-4.0,2018,8,8541
1748,.net-4.0,2018,9,8562
1749,.net-4.0,2018,10,8580
1750,.net-4.0,2018,11,8584
1751,.net-4.0,2018,12,8588
1752,.net-4.0,2019,1,8594
1753,.net-4.0,2019,2,8602
1754,.net-4.0,2019,3,8608
1755,.net-4.0,2019,4,8614
1756,.net-4.0,2019,5,8621
1757,.net-4.0,2019,6,8630
1758,.net-4.0,2019,7,8634
1759,.net-4.0,2019,8,8639
1760,.net-4.0,2019,9,8643
1761,.net-4.0,2019,10,8651
1762,.net-4.0,2019,11,8657
1763,.net-4.0,2019,12,8665
1764,.net-4.0,2020,1,8673
1765,.net-4.0,2020,2,8680
1766,.net-4.0,2020,3,8690
1767,.net-4.0,2020,4,8697
1768,.net-4.0,2020,5,8709
1769,.net-4.0,2020,6,8714
1770,.net-4.0,2020,7,8717
1771,.net-4.0,2020,8,8723
1772,.net-4.0,2020,9,8729
1773,.net-4.0,2020,10,8736
1774,.net-4.0,2020,11,8737
1775,.net-4.0,2020,12,8741
1776,.net-4.0,2021,1,8744
1777,.net-4.0,2021,2,8748
2516,.net-core,2009,7,1
2517,.net-core,2009,12,2
2518,.net-core,2010,8,3
2519,.net-core,2010,11,4
2520,.net-core,2011,8,5
2521,.net-core,2012,4,6
2522,.net-core,2012,10,7
2523,.net-core,2013,2,8
2524,.net-core,2013,8,9
2525,.net-core,2014,4,10
2526,.net-core,2014,5,12
2527,.net-core,2014,7,13
2528,.net-core,2014,11,18
2529,.net-core,2014,12,21
2530,.net-core,2015,1,24
2531,.net-core,2015,2,30
2532,.net-core,2015,3,35
2533,.net-core,2015,4,40
2534,.net-core,2015,5,57
2535,.net-core,2015,6,68
2536,.net-core,2015,7,85
2537,.net-core,2015,8,99
2538,.net-core,2015,9,110
2539,.net-core,2015,10,122
2540,.net-core,2015,11,140
2541,.net-core,2015,12,155
2542,.net-core,2016,1,184
2543,.net-core,2016,2,234
2544,.net-core,2016,3,266
2545,.net-core,2016,4,302
2546,.net-core,2016,5,369
2547,.net-core,2016,6,499
2548,.net-core,2016,7,719
2549,.net-core,2016,8,918
2550,.net-core,2016,9,1079
2551,.net-core,2016,10,1292
2552,.net-core,2016,11,1582
2553,.net-core,2016,12,1825
2554,.net-core,2017,1,2104
2555,.net-core,2017,2,2401
2556,.net-core,2017,3,2816
2557,.net-core,2017,4,3150
2558,.net-core,2017,5,3490
2559,.net-core,2017,6,3792
2560,.net-core,2017,7,4093
2561,.net-core,2017,8,4492
2562,.net-core,2017,9,4833
2563,.net-core,2017,10,5147
2564,.net-core,2017,11,5414
2565,.net-core,2017,12,5721
2566,.net-core,2018,1,6135
2567,.net-core,2018,2,6563
2568,.net-core,2018,3,6976
2569,.net-core,2018,4,7379
2570,.net-core,2018,5,7824
2571,.net-core,2018,6,8307
2572,.net-core,2018,7,8740
2573,.net-core,2018,8,9263
2574,.net-core,2018,9,9742
2575,.net-core,2018,10,10326
2576,.net-core,2018,11,10844
2577,.net-core,2018,12,11337
2578,.net-core,2019,1,11930
2579,.net-core,2019,2,12535
2580,.net-core,2019,3,13101
2581,.net-core,2019,4,13667
2582,.net-core,2019,5,14343
2583,.net-core,2019,6,14937
2584,.net-core,2019,7,15635
2585,.net-core,2019,8,16274
2586,.net-core,2019,9,16969
2587,.net-core,2019,10,17834
2588,.net-core,2019,11,18580
2589,.net-core,2019,12,19317
2590,.net-core,2020,1,20238
2591,.net-core,2020,2,21120
2592,.net-core,2020,3,22112
2593,.net-core,2020,4,23203
2594,.net-core,2020,5,24238
2595,.net-core,2020,6,25280
2596,.net-core,2020,7,26307
2597,.net-core,2020,8,27178
2598,.net-core,2020,9,28051
2599,.net-core,2020,10,28887
2600,.net-core,2020,11,29675
2601,.net-core,2020,12,30377
2602,.net-core,2021,1,31122
2603,.net-core,2021,2,31841
6214,3d,2009,1,24
6215,3d,2009,2,54
6216,3d,2009,3,66
6217,3d,2009,4,102
6218,3d,2009,5,133
6219,3d,2009,6,162
6220,3d,2009,7,192
6221,3d,2009,8,244
6222,3d,2009,9,276
6223,3d,2009,10,321
6224,3d,2009,11,368
6225,3d,2009,12,408
6226,3d,2010,1,457
6227,3d,2010,2,504
6228,3d,2010,3,550
6229,3d,2010,4,604
6230,3d,2010,5,664
6231,3d,2010,6,732
6232,3d,2010,7,790
6233,3d,2010,8,849
6234,3d,2010,9,917
6235,3d,2010,10,1002
6236,3d,2010,11,1074
6237,3d,2010,12,1161
6238,3d,2011,1,1264
6239,3d,2011,2,1348
6240,3d,2011,3,1446
6241,3d,2011,4,1539
6242,3d,2011,5,1648
6243,3d,2011,6,1747
6244,3d,2011,7,1834
6245,3d,2011,8,1940
6246,3d,2011,9,2023
6247,3d,2011,10,2131
6248,3d,2011,11,2230
6249,3d,2011,12,2330
6250,3d,2012,1,2460
6251,3d,2012,2,2572
6252,3d,2012,3,2688
6253,3d,2012,4,2786
6254,3d,2012,5,2928
6255,3d,2012,6,3065
6256,3d,2012,7,3196
6257,3d,2012,8,3290
6258,3d,2012,9,3396
6259,3d,2012,10,3502
6260,3d,2012,11,3645
6261,3d,2012,12,3778
6262,3d,2013,1,3923
6263,3d,2013,2,4032
6264,3d,2013,3,4202
6265,3d,2013,4,4338
6266,3d,2013,5,4505
6267,3d,2013,6,4657
6268,3d,2013,7,4806
6269,3d,2013,8,4964
6270,3d,2013,9,5104
6271,3d,2013,10,5257
6272,3d,2013,11,5401
6273,3d,2013,12,5528
6274,3d,2014,1,5668
6275,3d,2014,2,5814
6276,3d,2014,3,5997
6277,3d,2014,4,6166
6278,3d,2014,5,6318
6279,3d,2014,6,6455
6280,3d,2014,7,6589
6281,3d,2014,8,6713
6282,3d,2014,9,6834
6283,3d,2014,10,6966
6284,3d,2014,11,7117
6285,3d,2014,12,7239
6286,3d,2015,1,7353
6287,3d,2015,2,7487
6288,3d,2015,3,7626
6289,3d,2015,4,7775
6290,3d,2015,5,7941
6291,3d,2015,6,8088
6292,3d,2015,7,8248
6293,3d,2015,8,8390
6294,3d,2015,9,8497
6295,3d,2015,10,8620
6296,3d,2015,11,8746
6297,3d,2015,12,8867
6298,3d,2016,1,8995
6299,3d,2016,2,9125
6300,3d,2016,3,9282
6301,3d,2016,4,9416
6302,3d,2016,5,9572
6303,3d,2016,6,9684
6304,3d,2016,7,9790
6305,3d,2016,8,9920
6306,3d,2016,9,10048
6307,3d,2016,10,10150
6308,3d,2016,11,10250
6309,3d,2016,12,10386
6310,3d,2017,1,10498
6311,3d,2017,2,10615
6312,3d,2017,3,10763
6313,3d,2017,4,10878
6314,3d,2017,5,11002
6315,3d,2017,6,11102
6316,3d,2017,7,11224
6317,3d,2017,8,11318
6318,3d,2017,9,11422
6319,3d,2017,10,11544
6320,3d,2017,11,11638
6321,3d,2017,12,11722
6322,3d,2018,1,11836
6323,3d,2018,2,11910
6324,3d,2018,3,12020
6325,3d,2018,4,12095
6326,3d,2018,5,12197
6327,3d,2018,6,12277
6328,3d,2018,7,12363
6329,3d,2018,8,12456
6330,3d,2018,9,12536
6331,3d,2018,10,12634
6332,3d,2018,11,12733
6333,3d,2018,12,12810
6334,3d,2019,1,12884
6335,3d,2019,2,12966
6336,3d,2019,3,13043
6337,3d,2019,4,13112
6338,3d,2019,5,13193
6339,3d,2019,6,13267
6340,3d,2019,7,13357
6341,3d,2019,8,13408
6342,3d,2019,9,13465
6343,3d,2019,10,13548
6344,3d,2019,11,13643
6345,3d,2019,12,13724
6346,3d,2020,1,13808
6347,3d,2020,2,13900
6348,3d,2020,3,14011
6349,3d,2020,4,14162
6350,3d,2020,5,14310
6351,3d,2020,6,14465
6352,3d,2020,7,14597
6353,3d,2020,8,14697
6354,3d,2020,9,14795
6355,3d,2020,10,14887
6356,3d,2020,11,14986
6357,3d,2020,12,15089
6358,3d,2021,1,15191
6359,3d,2021,2,15326
8029,64-bit,2009,1,30
8030,64-bit,2009,2,62
8031,64-bit,2009,3,87
8032,64-bit,2009,4,116
8033,64-bit,2009,5,159
8034,64-bit,2009,6,207
8035,64-bit,2009,7,259
8036,64-bit,2009,8,306
8037,64-bit,2009,9,350
8038,64-bit,2009,10,394
8039,64-bit,2009,11,443
8040,64-bit,2009,12,498
8041,64-bit,2010,1,560
8042,64-bit,2010,2,609
8043,64-bit,2010,3,671
8044,64-bit,2010,4,733
8045,64-bit,2010,5,787
8046,64-bit,2010,6,852
8047,64-bit,2010,7,904
8048,64-bit,2010,8,957
8049,64-bit,2010,9,1022
8050,64-bit,2010,10,1076
8051,64-bit,2010,11,1121
8052,64-bit,2010,12,1173
8053,64-bit,2011,1,1232
8054,64-bit,2011,2,1288
8055,64-bit,2011,3,1354
8056,64-bit,2011,4,1400
8057,64-bit,2011,5,1448
8058,64-bit,2011,6,1514
8059,64-bit,2011,7,1571
8060,64-bit,2011,8,1641
8061,64-bit,2011,9,1699
8062,64-bit,2011,10,1755
8063,64-bit,2011,11,1805
8064,64-bit,2011,12,1863
8065,64-bit,2012,1,1912
8066,64-bit,2012,2,1989
8067,64-bit,2012,3,2067
8068,64-bit,2012,4,2120
8069,64-bit,2012,5,2174
8070,64-bit,2012,6,2225
8071,64-bit,2012,7,2287
8072,64-bit,2012,8,2341
8073,64-bit,2012,9,2397
8074,64-bit,2012,10,2453
8075,64-bit,2012,11,2522
8076,64-bit,2012,12,2575
8077,64-bit,2013,1,2647
8078,64-bit,2013,2,2709
8079,64-bit,2013,3,2776
8080,64-bit,2013,4,2842
8081,64-bit,2013,5,2895
8082,64-bit,2013,6,2957
8083,64-bit,2013,7,3021
8084,64-bit,2013,8,3073
8085,64-bit,2013,9,3130
8086,64-bit,2013,10,3193
8087,64-bit,2013,11,3241
8088,64-bit,2013,12,3284
8089,64-bit,2014,1,3346
8090,64-bit,2014,2,3406
8091,64-bit,2014,3,3461
8092,64-bit,2014,4,3517
8093,64-bit,2014,5,3560
